Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.358,184.9693,184.96929,-3.33786e-06,0.00858
0.359,184.96929,184.96929,2.38419e-06,-0.01049
0.36,184.96929,184.96929,7.15256e-06,-0.00429
0.361,184.96929,184.96929,7.62939e-06,0.0
0.362,184.96929,184.96929,1.90735e-06,0.00477
0.363,184.96929,184.96929,2.38419e-06,0.00048
0.364,184.96928,184.96929,8.10623e-06,-0.00763
0.365,184.9693,184.96929,9.53674e-07,0.0124
0.366,184.9693,184.96929,-3.33786e-06,0.00095
0.367,184.96929,184.96929,3.8147e-06,-0.00668
0.368,184.96929,184.96929,3.8147e-06,0.00143
0.369,184.9693,184.96929,-1.00136e-05,0.01287
0.37,184.9693,184.96929,-9.53674e-06,-0.00286
0.371,184.9693,184.96929,-5.24521e-06,-0.00191
0.372,184.96929,184.96929,1.43051e-06,-0.0062
0.373,184.9693,184.96929,-2.86102e-06,0.00238
0.374,184.96929,184.96929,1.90735e-06,-0.00429
0.375,184.96929,184.96929,3.33786e-06,-0.00143
0.376,184.96929,184.96929,8.10623e-06,-0.00525
0.377,184.9693,184.96929,-2.86102e-06,0.01287
0.378,184.9693,184.96929,-7.15256e-06,0.00238
0.379,184.9693,184.96929,-9.53674e-06,0.00238
0.38,184.9693,184.96929,-1.00136e-05,-0.00095
0.381,184.96929,184.96929,4.29153e-06,-0.00954
0.382,184.96929,184.96929,-1.43051e-06,0.00191
0.383,184.9693,184.96929,-3.33786e-06,0.00572
0.384,184.9693,184.96929,-6.19888e-06,-0.00143
0.385,184.96929,184.96929,-1.43051e-06,-0.00572
0.386,184.9693,184.96929,-9.53674e-06,0.00954
0.387,184.96929,184.96929,5.72205e-06,-0.01383
0.388,184.96929,184.96929,7.62939e-06,-0.00191
0.389,184.9693,184.96929,-4.29153e-06,0.00906
0.39,184.9693,184.96929,-9.53674e-07,-0.00048
0.391,184.9693,184.96929,-2.38419e-06,0.00048
0.392,184.96929,184.96929,4.76837e-06,-0.01049
0.393,184.96929,184.96929,7.62939e-06,0.00334
0.394,184.96929,184.96929,1.43051e-06,0.00238
0.395,184.96929,184.96929,4.76837e-06,-0.00238
0.396,184.9693,184.96929,-1.90735e-06,0.00811
0.397,184.96929,184.96929,-1.90735e-06,-0.00191
0.398,184.9693,184.96929,-9.53674e-07,0.00191
0.399,184.96929,184.96929,-3.33786e-06,-0.00238
0.4,184.9693,184.96929,-2.86102e-06,0.00143
0.401,184.96929,184.96929,0.0,-0.00286
0.402,184.96929,184.96929,4.76837e-07,0.00095
